iteration,backup,event,origin_time_change,dx,dy,dz,change_type,applied
2,0,33,-0.002,0.027,-0.031,-0.067,iteration,True
2,0,34,0.001,0.021,0.008,-0.077,iteration,True
2,0,35,-0.007,0.033,0.025,-0.084,iteration,True
2,0,36,-0.014,0.022,-0.08,0.112,iteration,True
2,0,37,0.0,0.048,-0.025,0.02,iteration,True
2,0,38,-0.013,0.034,-0.083,0.141,iteration,True
2,0,39,-0.012,0.087,-0.131,-0.092,iteration,True
2,0,40,-0.029,0.125,-0.051,-0.084,iteration,True
2,0,41,-0.02,0.049,0.02,0.062,iteration,True
2,0,42,-0.013,0.045,-0.077,0.128,iteration,True
2,0,43,-0.004,0.026,-0.078,0.071,iteration,True
2,0,44,-0.022,0.084,-0.087,0.198,iteration,True
2,0,45,-0.005,0.084,-0.065,0.065,iteration,True
2,0,46,-0.015,0.068,-0.09,0.119,iteration,True
3,0,1,-0.011,0.008,-0.038,0.126,iteration,True
3,0,2,0.0,0.006,-0.007,0.006,iteration,True
3,0,3,-0.0,-0.002,0.005,-0.008,iteration,True
3,0,4,-0.0,0.003,-0.004,-0.007,iteration,True
3,0,5,-0.0,0.001,-0.003,0.007,iteration,True
3,0,6,-0.003,0.005,-0.009,0.041,iteration,True
3,0,7,-0.0,0.0,-0.007,0.001,iteration,True
3,0,8,0.0,0.004,-0.003,0.004,iteration,True
3,0,9,-0.004,0.004,-0.008,0.055,iteration,True
3,0,10,-0.0,0.001,0.003,-0.008,iteration,True
3,0,11,-0.004,0.005,-0.005,0.063,iteration,True
3,0,12,0.0,0.005,-0.005,0.006,iteration,True
3,0,13,-0.001,0.002,-0.014,0.011,iteration,True
3,0,14,-0.0,0.003,-0.005,0.01,iteration,True
3,0,15,-0.0,0.003,-0.002,0.005,iteration,True
3,0,16,-0.003,0.006,-0.014,0.037,iteration,True
3,0,17,-0.004,0.009,-0.012,0.049,iteration,True
3,0,18,-0.0,0.001,-0.006,0.006,iteration,True
3,0,19,-0.001,-0.0,-0.003,0.017,iteration,True
3,0,20,-0.003,0.004,-0.002,0.055,iteration,True
3,0,21,0.0,0.004,-0.003,0.0,iteration,True
3,0,22,0.0,0.002,-0.002,0.003,iteration,True
3,0,23,-0.005,-0.017,-0.007,0.115,iteration,True
3,0,24,-0.0,0.004,-0.007,0.007,iteration,True
3,0,25,-0.007,0.023,-0.034,0.078,iteration,True
3,0,26,0.001,0.01,-0.009,-0.012,iteration,True
3,0,27,-0.002,0.005,-0.007,0.037,iteration,True
3,0,28,-0.001,0.002,0.017,-0.015,iteration,True
3,0,29,0.004,0.003,0.003,-0.088,iteration,True
3,0,30,-0.001,0.004,-0.007,0.026,iteration,True
3,0,31,-0.003,0.001,-0.007,0.043,iteration,True
3,0,32,-0.001,0.007,0.014,-0.025,iteration,True
3,0,33,-0.0,-0.0,-0.001,-0.006,iteration,True
3,0,34,-0.0,0.001,0.001,-0.007,iteration,True
3,0,35,0.0,0.004,-0.003,-0.002,iteration,True
3,0,36,-0.003,0.003,-0.004,0.05,iteration,True
3,0,37,-0.0,0.002,-0.001,0.001,iteration,True
3,0,38,-0.004,0.006,-0.003,0.051,iteration,True
3,0,39,0.001,0.006,-0.009,-0.055,iteration,True
3,0,40,-0.0,0.005,-0.002,-0.008,iteration,True
3,0,41,-0.0,0.004,0.001,0.006,iteration,True
3,0,42,-0.003,0.003,-0.002,0.039,iteration,True
3,0,43,0.0,0.002,-0.003,0.006,iteration,True
3,0,44,-0.007,0.019,0.0,0.076,iteration,True
3,0,45,-0.001,0.006,-0.005,0.015,iteration,True
3,0,46,-0.003,0.007,-0.005,0.034,iteration,True
4,0,1,-0.018,0.056,-0.055,0.123,iteration,True
4,0,2,-0.003,0.042,-0.033,-0.009,iteration,True
4,0,3,-0.003,0.039,-0.03,-0.005,iteration,True
4,0,4,-0.003,0.043,-0.032,-0.01,iteration,True
4,0,5,-0.005,0.047,-0.035,0.064,iteration,True
4,0,6,-0.009,0.054,-0.043,0.067,iteration,True
4,0,7,-0.006,0.051,-0.034,0.07,iteration,True
4,0,8,-0.002,0.042,-0.033,-0.004,iteration,True
4,0,9,-0.011,0.054,-0.041,0.083,iteration,True
4,0,10,-0.003,0.042,-0.032,-0.008,iteration,True
4,0,11,-0.007,0.051,-0.041,0.075,iteration,True
4,0,12,-0.003,0.043,-0.035,-0.005,iteration,True
4,0,13,-0.009,0.052,-0.045,0.047,iteration,True
4,0,14,-0.007,0.051,-0.035,0.075,iteration,True
4,0,15,-0.003,0.044,-0.036,0.005,iteration,True
4,0,16,-0.01,0.055,-0.048,0.06,iteration,True
4,0,17,-0.011,0.055,-0.048,0.061,iteration,True
4,0,18,-0.009,0.052,-0.037,0.078,iteration,True
4,0,19,-0.006,0.045,-0.034,0.079,iteration,True
4,0,20,-0.007,0.05,-0.035,0.078,iteration,True
4,0,21,-0.004,0.042,-0.033,-0.014,iteration,True
4,0,22,-0.002,0.041,-0.032,-0.006,iteration,True
4,0,23,-0.002,0.059,-0.038,-0.004,iteration,True
4,0,24,-0.006,0.053,-0.041,0.048,iteration,True
4,0,25,-0.013,0.057,-0.054,0.058,iteration,True
4,0,26,-0.006,0.05,-0.04,0.042,iteration,True
4,0,27,-0.009,0.053,-0.041,0.067,iteration,True
4,0,28,-0.004,0.043,-0.028,-0.011,iteration,True
4,0,29,-0.002,0.052,-0.032,-0.041,iteration,True
4,0,30,-0.008,0.056,-0.041,0.075,iteration,True
4,0,31,-0.015,0.054,-0.057,0.115,iteration,True
4,0,32,-0.004,0.043,-0.033,-0.012,iteration,True
4,0,33,-0.001,0.042,-0.032,-0.001,iteration,True
4,0,34,-0.002,0.043,-0.033,-0.006,iteration,True
4,0,35,-0.002,0.044,-0.036,-0.0,iteration,True
4,0,36,-0.007,0.049,-0.043,0.08,iteration,True
4,0,37,-0.001,0.045,-0.035,0.003,iteration,True
4,0,38,-0.009,0.051,-0.041,0.079,iteration,True
4,0,39,-0.003,0.041,-0.039,-0.017,iteration,True
4,0,40,-0.003,0.043,-0.032,-0.004,iteration,True
4,0,41,-0.003,0.043,-0.032,-0.003,iteration,True
4,0,42,-0.008,0.051,-0.042,0.084,iteration,True
4,0,43,0.003,0.038,-0.039,0.024,iteration,True
4,0,44,-0.012,0.058,-0.045,0.084,iteration,True
4,0,45,-0.004,0.045,-0.043,0.012,iteration,True
4,0,46,-0.009,0.054,-0.046,0.066,iteration,True
5,0,1,-0.007,0.006,-0.016,0.077,iteration,True
5,0,2,-0.0,0.003,-0.003,0.001,iteration,True
5,0,3,0.0,0.002,-0.003,0.001,iteration,True
5,0,4,-0.0,0.002,-0.002,0.0,iteration,True
5,0,5,-0.002,-0.0,-0.001,0.037,iteration,True
5,0,6,-0.002,0.004,-0.004,0.03,iteration,True
5,0,7,-0.001,0.002,-0.0,0.032,iteration,True
5,0,8,0.0,0.002,-0.002,0.002,iteration,True
5,0,9,-0.003,0.003,-0.003,0.04,iteration,True
5,0,10,-0.0,0.002,-0.003,0.001,iteration,True
5,0,11,-0.002,0.004,-0.004,0.038,iteration,True
5,0,12,-0.0,0.002,-0.003,0.002,iteration,True
5,0,13,-0.002,0.005,-0.004,0.022,iteration,True
5,0,14,-0.002,-0.001,-0.001,0.038,iteration,True
5,0,15,-0.0,0.002,-0.003,-0.001,iteration,True
5,0,16,-0.002,0.005,-0.007,0.03,iteration,True
5,0,17,-0.002,0.006,-0.006,0.029,iteration,True
5,0,18,-0.002,-0.001,-0.002,0.037,iteration,True
5,0,19,-0.001,-0.001,-0.002,0.03,iteration,True
5,0,20,-0.002,0.003,-0.001,0.038,iteration,True
5,0,21,-0.0,0.002,-0.002,0.0,iteration,True
5,0,22,0.0,0.002,-0.002,0.001,iteration,True
5,0,23,0.002,0.013,-0.004,-0.059,iteration,True
5,0,24,-0.001,0.004,-0.003,0.018,iteration,True
5,0,25,-0.003,0.01,-0.012,0.032,iteration,True
5,0,26,-0.001,0.003,-0.004,0.01,iteration,True
5,0,27,-0.002,0.004,-0.004,0.028,iteration,True
5,0,28,-0.0,0.002,-0.002,0.001,iteration,True
5,0,29,0.001,0.002,-0.002,-0.03,iteration,True
5,0,30,-0.001,0.003,-0.003,0.018,iteration,True
5,0,31,-0.003,0.001,0.001,0.035,iteration,True
5,0,32,-0.0,0.002,-0.002,0.001,iteration,True
5,0,33,-0.0,0.001,-0.002,0.001,iteration,True
5,0,34,0.0,0.002,-0.002,0.001,iteration,True
5,0,35,-0.0,0.001,-0.002,0.001,iteration,True
5,0,36,-0.002,0.004,-0.001,0.036,iteration,True
5,0,37,-0.0,0.002,-0.002,-0.001,iteration,True
5,0,38,-0.002,0.006,-0.0,0.031,iteration,True
5,0,39,0.0,0.002,-0.004,-0.008,iteration,True
5,0,40,0.0,0.002,-0.003,0.001,iteration,True
5,0,41,-0.0,0.002,-0.002,0.001,iteration,True
5,0,42,-0.002,0.003,-0.001,0.027,iteration,True
5,0,43,0.0,0.002,-0.002,0.002,iteration,True
5,0,44,-0.003,0.01,-0.001,0.034,iteration,True
5,0,45,-0.0,0.003,-0.003,0.004,iteration,True
5,0,46,-0.002,0.005,-0.002,0.02,iteration,True
6,0,1,-0.013,0.046,-0.033,0.086,iteration,True
6,0,2,-0.003,0.035,-0.02,-0.005,iteration,True
6,0,3,-0.003,0.033,-0.019,-0.0,iteration,True
6,0,4,-0.003,0.035,-0.02,-0.004,iteration,True
6,0,5,-0.004,0.035,-0.022,0.07,iteration,True
6,0,6,-0.007,0.044,-0.027,0.053,iteration,True
6,0,7,-0.006,0.041,-0.02,0.071,iteration,True
6,0,8,-0.002,0.035,-0.02,0.0,iteration,True
6,0,9,-0.009,0.044,-0.026,0.065,iteration,True
6,0,10,-0.003,0.035,-0.021,-0.002,iteration,True
6,0,11,-0.005,0.041,-0.027,0.052,iteration,True
6,0,12,-0.003,0.035,-0.021,-0.001,iteration,True
6,0,13,-0.007,0.043,-0.028,0.044,iteration,True
6,0,14,-0.006,0.04,-0.021,0.077,iteration,True
6,0,15,-0.003,0.037,-0.023,0.004,iteration,True
6,0,16,-0.008,0.045,-0.032,0.05,iteration,True
6,0,17,-0.008,0.044,-0.03,0.044,iteration,True
6,0,18,-0.008,0.039,-0.023,0.082,iteration,True
6,0,19,-0.005,0.035,-0.022,0.07,iteration,True
6,0,20,-0.005,0.04,-0.022,0.057,iteration,True
6,0,21,-0.003,0.035,-0.022,-0.009,iteration,True
6,0,22,-0.002,0.035,-0.019,-0.001,iteration,True
6,0,23,-0.006,0.031,-0.026,0.103,iteration,True
6,0,24,-0.005,0.043,-0.026,0.043,iteration,True
6,0,25,-0.01,0.044,-0.032,0.033,iteration,True
6,0,26,-0.004,0.041,-0.025,0.039,iteration,True
6,0,27,-0.007,0.043,-0.026,0.054,iteration,True
6,0,28,-0.003,0.036,-0.02,-0.005,iteration,True
6,0,29,-0.002,0.041,-0.021,-0.004,iteration,True
6,0,30,-0.006,0.046,-0.027,0.063,iteration,True
6,0,31,-0.011,0.046,-0.03,0.085,iteration,True
6,0,32,-0.003,0.035,-0.023,-0.005,iteration,True
6,0,33,-0.001,0.035,-0.019,0.003,iteration,True
6,0,34,-0.003,0.035,-0.021,-0.001,iteration,True
6,0,35,-0.002,0.036,-0.022,0.003,iteration,True
6,0,36,-0.005,0.039,-0.029,0.058,iteration,True
6,0,37,-0.001,0.038,-0.021,0.003,iteration,True
6,0,38,-0.007,0.041,-0.026,0.057,iteration,True
6,0,39,-0.003,0.034,-0.023,-0.002,iteration,True
6,0,40,-0.003,0.034,-0.02,0.0,iteration,True
6,0,41,-0.003,0.036,-0.019,-0.001,iteration,True
6,0,42,-0.007,0.042,-0.026,0.064,iteration,True
6,0,43,0.002,0.032,-0.026,0.022,iteration,True
6,0,44,-0.008,0.045,-0.029,0.053,iteration,True
6,0,45,-0.004,0.038,-0.026,0.003,iteration,True
6,0,46,-0.007,0.044,-0.029,0.047,iteration,True
7,0,1,-0.005,0.005,-0.01,0.054,iteration,True
7,0,2,-0.0,0.002,-0.002,0.001,iteration,True
7,0,3,0.0,0.002,-0.002,0.001,iteration,True
7,0,4,-0.0,0.002,-0.002,0.0,iteration,True
7,0,5,-0.002,-0.001,-0.0,0.042,iteration,True
7,0,6,-0.002,0.004,-0.003,0.024,iteration,True
7,0,7,-0.002,0.001,0.001,0.033,iteration,True
7,0,8,0.0,0.002,-0.001,0.001,iteration,True
7,0,9,-0.002,0.002,-0.002,0.032,iteration,True
7,0,10,0.0,0.002,-0.002,0.002,iteration,True
7,0,11,-0.001,0.003,-0.002,0.026,iteration,True
7,0,12,-0.0,0.002,-0.002,0.001,iteration,True
7,0,13,-0.001,0.005,-0.002,0.02,iteration,True
7,0,14,-0.002,-0.001,0.0,0.04,iteration,True
7,0,15,-0.0,0.002,-0.002,0.003,iteration,True
7,0,16,-0.002,0.004,-0.005,0.025,iteration,True
7,0,17,-0.002,0.005,-0.004,0.021,iteration,True
7,0,18,-0.003,-0.002,-0.001,0.04,iteration,True
7,0,19,-0.001,-0.001,-0.001,0.027,iteration,True
7,0,20,-0.002,0.003,-0.0,0.028,iteration,True
7,0,21,-0.0,0.002,-0.001,0.0,iteration,True
7,0,22,-0.0,0.002,-0.001,0.001,iteration,True
7,0,23,-0.002,-0.001,0.007,0.067,iteration,True
7,0,24,-0.001,0.003,-0.002,0.017,iteration,True
7,0,25,-0.002,0.007,-0.007,0.019,iteration,True
7,0,26,-0.0,0.002,-0.002,0.01,iteration,True
7,0,27,-0.001,0.003,-0.002,0.022,iteration,True
7,0,28,-0.0,0.002,-0.002,0.001,iteration,True
7,0,29,0.0,0.002,-0.002,-0.003,iteration,True
7,0,30,-0.001,0.003,-0.001,0.017,iteration,True
7,0,31,-0.002,0.001,0.002,0.026,iteration,True
7,0,32,-0.0,0.002,-0.002,0.001,iteration,True
7,0,33,-0.0,0.001,-0.001,0.001,iteration,True
7,0,34,-0.0,0.002,-0.002,0.001,iteration,True
7,0,35,-0.0,0.001,-0.001,0.001,iteration,True
7,0,36,-0.002,0.003,-0.001,0.027,iteration,True
7,0,37,-0.0,0.001,-0.001,-0.0,iteration,True
7,0,38,-0.002,0.004,0.0,0.024,iteration,True
7,0,39,0.0,0.002,-0.002,-0.001,iteration,True
7,0,40,0.0,0.002,-0.002,0.001,iteration,True
7,0,41,-0.0,0.002,-0.001,0.001,iteration,True
7,0,42,-0.001,0.003,-0.0,0.021,iteration,True
7,0,43,0.0,0.002,-0.001,0.002,iteration,True
7,0,44,-0.002,0.007,-0.0,0.023,iteration,True
7,0,45,-0.0,0.002,-0.002,0.002,iteration,True
7,0,46,-0.001,0.004,-0.001,0.015,iteration,True
8,0,1,-0.011,0.039,-0.022,0.069,iteration,True
8,0,2,-0.003,0.031,-0.012,-0.002,iteration,True
8,0,3,-0.003,0.03,-0.011,0.002,iteration,True
8,0,4,-0.003,0.031,-0.013,-0.002,iteration,True
8,0,5,-0.004,0.029,-0.014,0.067,iteration,True
8,0,6,-0.007,0.038,-0.018,0.045,iteration,True
8,0,7,-0.005,0.035,-0.012,0.065,iteration,True
8,0,8,-0.003,0.031,-0.012,0.002,iteration,True
8,0,9,-0.008,0.039,-0.017,0.055,iteration,True
8,0,10,-0.003,0.031,-0.014,-0.0,iteration,True
8,0,11,-0.004,0.036,-0.018,0.042,iteration,True
8,0,12,-0.003,0.031,-0.013,0.002,iteration,True
8,0,13,-0.007,0.038,-0.019,0.039,iteration,True
8,0,14,-0.006,0.034,-0.013,0.072,iteration,True
8,0,15,-0.003,0.032,-0.014,0.006,iteration,True
8,0,16,-0.007,0.039,-0.022,0.045,iteration,True
8,0,17,-0.007,0.039,-0.02,0.036,iteration,True
8,0,18,-0.008,0.033,-0.014,0.077,iteration,True
8,0,19,-0.004,0.03,-0.014,0.061,iteration,True
8,0,20,-0.004,0.035,-0.014,0.047,iteration,True
8,0,21,-0.003,0.031,-0.014,-0.006,iteration,True
8,0,22,-0.002,0.031,-0.011,0.001,iteration,True
8,0,23,-0.005,0.034,-0.011,0.078,iteration,True
8,0,24,-0.005,0.038,-0.017,0.037,iteration,True
8,0,25,-0.008,0.038,-0.021,0.024,iteration,True
8,0,26,-0.004,0.036,-0.016,0.034,iteration,True
8,0,27,-0.006,0.038,-0.017,0.046,iteration,True
8,0,28,-0.003,0.032,-0.013,-0.003,iteration,True
8,0,29,-0.003,0.036,-0.014,0.015,iteration,True
8,0,30,-0.006,0.04,-0.018,0.057,iteration,True
8,0,31,-0.01,0.041,-0.019,0.071,iteration,True
8,0,32,-0.003,0.031,-0.015,-0.003,iteration,True
8,0,33,-0.002,0.031,-0.011,0.005,iteration,True
8,0,34,-0.003,0.031,-0.013,0.001,iteration,True
8,0,35,-0.003,0.031,-0.013,0.004,iteration,True
8,0,36,-0.004,0.034,-0.02,0.047,iteration,True
8,0,37,-0.002,0.033,-0.012,0.004,iteration,True
8,0,38,-0.006,0.036,-0.016,0.048,iteration,True
8,0,39,-0.003,0.031,-0.014,0.0,iteration,True
8,0,40,-0.003,0.03,-0.012,0.002,iteration,True
8,0,41,-0.003,0.032,-0.012,0.0,iteration,True
8,0,42,-0.006,0.036,-0.017,0.054,iteration,True
8,0,43,0.001,0.028,-0.018,0.021,iteration,True
8,0,44,-0.007,0.039,-0.019,0.042,iteration,True
8,0,45,-0.004,0.035,-0.016,0.0,iteration,True
8,0,46,-0.006,0.038,-0.018,0.038,iteration,True
