iteration,backup,event,origin_time_change,dx,dy,dz,change_type,applied
3,0,14,-0.001,0.002,-0.007,0.015,iteration,True
3,0,15,0.0,-0.0,-0.003,-0.001,iteration,True
3,0,16,-0.003,0.006,-0.017,0.038,iteration,True
3,0,17,-0.004,0.009,-0.014,0.053,iteration,True
3,0,18,-0.0,0.001,-0.008,0.007,iteration,True
3,0,19,-0.001,-0.0,-0.004,0.011,iteration,True
3,0,20,-0.004,0.003,-0.003,0.062,iteration,True
3,0,21,0.0,0.002,-0.005,0.005,iteration,True
3,0,22,-0.0,-0.003,0.003,-0.004,iteration,True
3,0,23,0.0,0.001,-0.007,-0.011,iteration,True
3,0,24,-0.0,0.003,-0.009,0.007,iteration,True
3,0,25,-0.007,0.024,-0.038,0.085,iteration,True
3,0,26,-0.002,0.006,-0.003,0.041,iteration,True
3,0,27,-0.002,0.004,-0.009,0.038,iteration,True
3,0,28,-0.002,-0.003,0.015,-0.03,iteration,True
3,0,29,0.006,0.015,0.004,-0.118,iteration,True
3,0,30,-0.001,0.003,-0.009,0.018,iteration,True
3,0,31,-0.001,0.002,-0.007,0.017,iteration,True
3,0,32,-0.001,0.007,-0.013,0.014,iteration,True
3,0,33,0.0,0.001,-0.003,0.003,iteration,True
3,0,34,0.0,0.007,-0.007,0.014,iteration,True
3,0,35,0.002,0.013,-0.021,0.021,iteration,True
3,0,36,-0.003,0.003,-0.004,0.054,iteration,True
3,0,37,0.0,0.001,0.003,0.007,iteration,True
3,0,38,-0.003,0.005,-0.005,0.048,iteration,True
3,0,39,0.0,0.002,-0.011,0.004,iteration,True
3,0,40,-0.0,0.003,-0.007,-0.01,iteration,True
3,0,41,0.009,0.008,0.016,0.036,iteration,True
3,0,42,-0.002,0.003,-0.004,0.034,iteration,True
3,0,43,0.005,0.006,0.008,0.057,iteration,True
3,0,44,-0.007,0.019,-0.001,0.075,iteration,True
3,0,45,-0.0,0.004,-0.005,0.009,iteration,True
3,0,46,-0.002,0.006,-0.007,0.03,iteration,True
4,0,1,-0.014,0.047,-0.066,0.116,iteration,True
4,0,2,-0.003,0.03,-0.038,0.012,iteration,True
4,0,3,-0.003,0.03,-0.038,0.018,iteration,True
4,0,4,-0.003,0.029,-0.039,0.013,iteration,True
4,0,5,-0.004,0.037,-0.041,0.067,iteration,True
4,0,6,-0.006,0.044,-0.051,0.057,iteration,True
4,0,7,-0.004,0.039,-0.045,0.054,iteration,True
4,0,8,-0.003,0.03,-0.038,0.014,iteration,True
4,0,9,-0.008,0.044,-0.05,0.074,iteration,True
4,0,10,-0.003,0.031,-0.042,0.016,iteration,True
4,0,11,-0.007,0.042,-0.048,0.076,iteration,True
4,0,12,-0.003,0.032,-0.041,0.016,iteration,True
4,0,13,-0.006,0.043,-0.054,0.038,iteration,True
4,0,14,-0.005,0.04,-0.045,0.063,iteration,True
4,0,15,-0.004,0.034,-0.039,0.018,iteration,True
4,0,16,-0.007,0.045,-0.057,0.049,iteration,True
4,0,17,-0.007,0.047,-0.056,0.055,iteration,True
4,0,18,-0.006,0.04,-0.046,0.063,iteration,True
4,0,19,-0.004,0.036,-0.042,0.059,iteration,True
4,0,20,-0.006,0.041,-0.043,0.079,iteration,True
4,0,21,-0.003,0.03,-0.042,0.011,iteration,True
4,0,22,-0.002,0.031,-0.036,0.014,iteration,True
4,0,23,-0.004,0.04,-0.044,0.051,iteration,True
4,0,24,-0.004,0.043,-0.049,0.041,iteration,True
4,0,25,-0.01,0.052,-0.064,0.055,iteration,True
4,0,26,-0.004,0.042,-0.045,0.04,iteration,True
4,0,27,-0.006,0.043,-0.05,0.057,iteration,True
4,0,28,-0.003,0.032,-0.035,0.007,iteration,True
4,0,29,-0.002,0.045,-0.039,-0.031,iteration,True
4,0,30,-0.005,0.045,-0.049,0.06,iteration,True
4,0,31,-0.008,0.045,-0.057,0.077,iteration,True
4,0,32,-0.005,0.036,-0.044,0.021,iteration,True
4,0,33,-0.002,0.033,-0.037,0.018,iteration,True
4,0,34,-0.003,0.033,-0.041,0.017,iteration,True
4,0,35,-0.003,0.036,-0.043,0.021,iteration,True
4,0,36,-0.007,0.041,-0.047,0.074,iteration,True
4,0,37,-0.001,0.033,-0.04,0.021,iteration,True
4,0,38,-0.006,0.042,-0.048,0.065,iteration,True
4,0,39,-0.004,0.037,-0.042,0.018,iteration,True
4,0,40,-0.005,0.034,-0.041,0.015,iteration,True
4,0,41,-0.003,0.034,-0.042,0.017,iteration,True
4,0,42,-0.005,0.041,-0.05,0.066,iteration,True
4,0,43,-0.001,0.024,-0.061,-0.052,iteration,True
4,0,44,-0.008,0.049,-0.052,0.073,iteration,True
4,0,45,-0.004,0.037,-0.046,0.017,iteration,True
4,0,46,-0.006,0.044,-0.054,0.054,iteration,True
5,0,1,-0.007,0.006,-0.017,0.073,iteration,True
5,0,2,0.0,0.002,-0.004,0.003,iteration,True
5,0,3,0.0,0.002,-0.004,0.003,iteration,True
5,0,4,0.0,0.002,-0.004,0.003,iteration,True
5,0,5,0.001,0.005,-0.005,-0.029,iteration,True
5,0,6,-0.002,0.004,-0.005,0.025,iteration,True
5,0,7,-0.001,0.001,-0.002,0.024,iteration,True
5,0,8,0.0,0.001,-0.003,0.001,iteration,True
5,0,9,-0.003,0.002,-0.004,0.036,iteration,True
5,0,10,0.0,0.002,-0.004,0.004,iteration,True
5,0,11,-0.002,0.004,-0.004,0.038,iteration,True
5,0,12,0.0,0.002,-0.004,0.004,iteration,True
5,0,13,-0.001,0.004,-0.006,0.018,iteration,True
5,0,14,-0.002,-0.0,-0.003,0.031,iteration,True
5,0,15,-0.0,0.002,-0.003,0.008,iteration,True
5,0,16,-0.002,0.004,-0.008,0.025,iteration,True
5,0,17,-0.002,0.005,-0.007,0.026,iteration,True
5,0,18,-0.002,-0.001,-0.003,0.03,iteration,True
5,0,19,-0.001,-0.001,-0.003,0.022,iteration,True
5,0,20,-0.003,-0.002,-0.002,0.071,iteration,True
5,0,21,0.0,0.002,-0.004,0.003,iteration,True
5,0,22,0.0,0.002,-0.003,0.003,iteration,True
5,0,23,-0.001,0.001,-0.003,0.021,iteration,True
5,0,24,-0.001,0.003,-0.004,0.015,iteration,True
5,0,25,-0.003,0.01,-0.013,0.031,iteration,True
5,0,26,-0.0,0.003,-0.004,0.008,iteration,True
5,0,27,-0.001,0.003,-0.005,0.024,iteration,True
5,0,28,0.0,0.002,-0.004,0.003,iteration,True
5,0,29,0.001,0.003,-0.003,-0.015,iteration,True
5,0,30,-0.001,0.003,-0.004,0.019,iteration,True
5,0,31,-0.002,0.001,-0.001,0.022,iteration,True
5,0,32,-0.0,0.002,-0.004,0.005,iteration,True
5,0,33,0.0,0.001,-0.002,0.001,iteration,True
5,0,34,0.0,0.002,-0.004,0.004,iteration,True
5,0,35,0.0,0.001,-0.004,0.003,iteration,True
5,0,36,0.008,0.005,-0.012,-0.149,iteration,True
5,0,37,0.0,0.001,-0.002,0.001,iteration,True
5,0,38,-0.002,0.004,-0.002,0.026,iteration,True
5,0,39,0.0,0.002,-0.004,0.005,iteration,True
5,0,40,0.0,0.001,-0.003,0.005,iteration,True
5,0,41,0.0,0.002,-0.004,0.004,iteration,True
5,0,42,-0.001,0.003,-0.002,0.021,iteration,True
5,0,43,0.002,0.009,0.01,0.079,iteration,True
5,0,44,-0.003,0.008,-0.002,0.029,iteration,True
5,0,45,-0.0,0.002,-0.003,0.004,iteration,True
5,0,46,-0.001,0.004,-0.004,0.016,iteration,True
6,0,1,-0.011,0.036,-0.044,0.072,iteration,True
6,0,2,-0.002,0.022,-0.027,0.004,iteration,True
6,0,3,-0.002,0.021,-0.026,0.006,iteration,True
6,0,4,-0.002,0.023,-0.028,0.004,iteration,True
6,0,5,-0.006,0.026,-0.028,0.093,iteration,True
6,0,6,-0.006,0.033,-0.037,0.043,iteration,True
6,0,7,-0.005,0.031,-0.03,0.055,iteration,True
6,0,8,-0.002,0.024,-0.028,0.004,iteration,True
6,0,9,-0.007,0.033,-0.036,0.054,iteration,True
6,0,10,-0.002,0.023,-0.029,0.005,iteration,True
6,0,11,-0.006,0.032,-0.034,0.052,iteration,True
6,0,12,-0.002,0.023,-0.029,0.005,iteration,True
6,0,13,-0.006,0.033,-0.037,0.036,iteration,True
6,0,14,-0.005,0.03,-0.031,0.061,iteration,True
6,0,15,-0.003,0.024,-0.03,0.013,iteration,True
6,0,16,-0.007,0.034,-0.04,0.039,iteration,True
6,0,17,-0.007,0.034,-0.04,0.038,iteration,True
6,0,18,-0.006,0.031,-0.032,0.063,iteration,True
6,0,19,-0.005,0.028,-0.03,0.055,iteration,True
6,0,20,-0.005,0.028,-0.032,0.061,iteration,True
6,0,21,-0.002,0.023,-0.029,0.001,iteration,True
6,0,22,-0.001,0.024,-0.028,0.004,iteration,True
6,0,23,-0.004,0.031,-0.031,0.053,iteration,True
6,0,24,-0.005,0.032,-0.035,0.038,iteration,True
6,0,25,-0.008,0.034,-0.042,0.03,iteration,True
6,0,26,-0.004,0.032,-0.033,0.028,iteration,True
6,0,27,-0.006,0.033,-0.036,0.044,iteration,True
6,0,28,-0.002,0.023,-0.03,0.006,iteration,True
6,0,29,-0.004,0.032,-0.03,0.015,iteration,True
6,0,30,-0.005,0.033,-0.035,0.046,iteration,True
6,0,31,-0.008,0.034,-0.039,0.057,iteration,True
6,0,32,-0.003,0.024,-0.033,0.011,iteration,True
6,0,33,-0.001,0.024,-0.028,0.005,iteration,True
6,0,34,-0.002,0.023,-0.028,0.005,iteration,True
6,0,35,-0.002,0.025,-0.028,0.006,iteration,True
6,0,36,-0.011,0.026,-0.03,0.147,iteration,True
6,0,37,-0.0,0.025,-0.028,0.007,iteration,True
6,0,38,-0.005,0.031,-0.035,0.043,iteration,True
6,0,39,-0.003,0.025,-0.031,0.016,iteration,True
6,0,40,-0.003,0.025,-0.029,0.012,iteration,True
6,0,41,-0.002,0.022,-0.03,0.007,iteration,True
6,0,42,-0.005,0.031,-0.036,0.048,iteration,True
6,0,43,-0.002,0.019,-0.048,-0.123,iteration,True
6,0,44,-0.006,0.033,-0.039,0.042,iteration,True
6,0,45,-0.003,0.025,-0.033,0.015,iteration,True
6,0,46,-0.006,0.033,-0.038,0.039,iteration,True
7,0,1,-0.004,0.004,-0.011,0.046,iteration,True
7,0,2,0.0,0.002,-0.003,0.002,iteration,True
7,0,3,0.0,0.001,-0.002,0.002,iteration,True
7,0,4,0.0,0.001,-0.002,0.002,iteration,True
7,0,5,0.001,0.001,-0.003,-0.019,iteration,True
7,0,6,-0.001,0.003,-0.004,0.019,iteration,True
7,0,7,-0.001,0.001,-0.001,0.025,iteration,True
7,0,8,0.0,0.001,-0.002,0.001,iteration,True
7,0,9,-0.002,0.002,-0.003,0.026,iteration,True
7,0,10,0.0,0.001,-0.003,0.002,iteration,True
7,0,11,0.0,0.0,-0.003,-0.003,iteration,True
7,0,12,0.0,0.001,-0.003,0.002,iteration,True
7,0,13,-0.001,0.003,-0.004,0.017,iteration,True
7,0,14,-0.002,-0.001,-0.001,0.031,iteration,True
7,0,15,-0.0,0.002,-0.002,0.006,iteration,True
7,0,16,-0.001,0.003,-0.006,0.02,iteration,True
7,0,17,-0.001,0.004,-0.005,0.018,iteration,True
7,0,18,-0.002,-0.002,-0.002,0.031,iteration,True
7,0,19,-0.001,-0.001,-0.002,0.021,iteration,True
7,0,20,-0.001,0.001,-0.002,0.019,iteration,True
7,0,21,0.0,0.001,-0.002,0.002,iteration,True
7,0,22,0.0,0.001,-0.002,0.002,iteration,True
7,0,23,-0.001,0.0,-0.002,0.023,iteration,True
7,0,24,-0.001,0.002,-0.003,0.015,iteration,True
7,0,25,-0.002,0.006,-0.008,0.018,iteration,True
7,0,26,-0.0,0.0,-0.006,0.015,iteration,True
7,0,27,-0.001,0.003,-0.003,0.019,iteration,True
7,0,28,0.0,0.001,-0.003,0.003,iteration,True
7,0,29,-0.001,0.001,-0.003,0.011,iteration,True
7,0,30,-0.001,0.002,-0.003,0.014,iteration,True
7,0,31,-0.001,0.001,-0.001,0.017,iteration,True
7,0,32,-0.0,0.001,-0.003,0.003,iteration,True
7,0,33,0.0,0.001,-0.002,0.0,iteration,True
7,0,34,0.0,0.001,-0.002,0.002,iteration,True
7,0,35,0.0,0.001,-0.002,0.002,iteration,True
7,0,36,0.006,0.004,-0.008,-0.113,iteration,True
7,0,37,-0.0,0.001,-0.001,0.0,iteration,True
7,0,38,-0.001,0.003,-0.002,0.017,iteration,True
7,0,39,0.0,0.001,-0.003,0.004,iteration,True
7,0,40,0.0,0.001,-0.002,0.004,iteration,True
7,0,41,0.0,0.002,-0.002,0.002,iteration,True
7,0,42,-0.001,0.002,-0.001,0.015,iteration,True
7,0,43,0.003,0.005,0.012,0.131,iteration,True
7,0,44,-0.002,0.005,-0.002,0.017,iteration,True
7,0,45,-0.0,0.001,-0.002,0.004,iteration,True
7,0,46,-0.001,0.003,-0.003,0.011,iteration,True
8,0,1,-0.009,0.027,-0.026,0.055,iteration,True
8,0,2,-0.002,0.02,-0.018,0.004,iteration,True
8,0,3,-0.002,0.019,-0.017,0.006,iteration,True
8,0,4,-0.002,0.019,-0.018,0.005,iteration,True
8,0,5,-0.002,0.022,-0.019,0.03,iteration,True
8,0,6,-0.005,0.025,-0.023,0.037,iteration,True
8,0,7,-0.004,0.024,-0.018,0.051,iteration,True
8,0,8,-0.002,0.019,-0.017,0.005,iteration,True
8,0,9,-0.006,0.026,-0.022,0.044,iteration,True
8,0,10,-0.002,0.019,-0.019,0.005,iteration,True
8,0,11,-0.003,0.024,-0.022,0.023,iteration,True
8,0,12,-0.002,0.02,-0.018,0.006,iteration,True
8,0,13,-0.005,0.025,-0.024,0.032,iteration,True
8,0,14,-0.004,0.024,-0.019,0.055,iteration,True
8,0,15,-0.002,0.022,-0.018,0.007,iteration,True
8,0,16,-0.006,0.026,-0.025,0.035,iteration,True
8,0,17,-0.006,0.025,-0.025,0.032,iteration,True
8,0,18,-0.006,0.023,-0.019,0.059,iteration,True
8,0,19,-0.003,0.021,-0.019,0.046,iteration,True
8,0,20,-0.003,0.023,-0.02,0.034,iteration,True
8,0,21,-0.002,0.019,-0.019,0.002,iteration,True
8,0,22,-0.001,0.02,-0.016,0.006,iteration,True
8,0,23,-0.003,0.024,-0.018,0.049,iteration,True
8,0,24,-0.003,0.026,-0.022,0.031,iteration,True
8,0,25,-0.006,0.024,-0.026,0.024,iteration,True
8,0,26,-0.002,0.023,-0.022,0.024,iteration,True
8,0,27,-0.005,0.025,-0.022,0.037,iteration,True
8,0,28,-0.002,0.021,-0.017,0.003,iteration,True
8,0,29,-0.002,0.025,-0.02,0.021,iteration,True
8,0,30,-0.005,0.029,-0.022,0.048,iteration,True
8,0,31,-0.008,0.028,-0.025,0.059,iteration,True
8,0,32,-0.002,0.02,-0.019,-0.001,iteration,True
8,0,33,-0.001,0.021,-0.017,0.008,iteration,True
8,0,34,-0.002,0.02,-0.018,0.006,iteration,True
8,0,35,-0.002,0.019,-0.018,0.005,iteration,True
8,0,36,-0.009,0.02,-0.018,0.153,iteration,True
8,0,37,-0.001,0.021,-0.018,0.008,iteration,True
8,0,38,-0.004,0.024,-0.022,0.039,iteration,True
8,0,39,-0.002,0.02,-0.018,0.002,iteration,True
8,0,40,-0.002,0.019,-0.018,0.001,iteration,True
8,0,41,-0.002,0.021,-0.018,0.005,iteration,True
8,0,42,-0.004,0.024,-0.023,0.043,iteration,True
8,0,43,-0.004,0.009,-0.039,-0.045,iteration,True
8,0,44,-0.005,0.025,-0.025,0.037,iteration,True
8,0,45,-0.002,0.023,-0.021,0.005,iteration,True
8,0,46,-0.005,0.025,-0.025,0.035,iteration,True
